Crop,N_Effect,P_Effect,K_Effect,pH_Effect
Kidneybeans,46.44,-12.14,-30.76,0.273
Kidneybeans,36.18,-10.22,-39.77,0.259
Kidneybeans,49.87,-12.7,-35.78,0.334
Kidneybeans,34.27,-18.85,-33.64,0.266
Kidneybeans,30.9,-19.4,-31.55,0.241
Kidneybeans,40.54,-16.14,-35.17,0.138
Kidneybeans,33.8,-12.91,-37.04,0.141
Kidneybeans,41.77,-15.65,-38.99,0.271
Kidneybeans,43.55,-14.55,-34.44,0.196
Kidneybeans,47.29,-10.47,-37.14,0.231
Kidneybeans,33.77,-16.33,-31.74,0.357
Kidneybeans,38.14,-17.22,-37.36,0.346
Kidneybeans,34.51,-19.91,-31.45,0.116
Kidneybeans,42.73,-15.89,-36.86,0.208
Kidneybeans,35.89,-14.91,-32.3,0.362
Kidneybeans,43.0,-13.02,-30.91,0.178
Kidneybeans,48.9,-12.73,-31.89,0.133
Kidneybeans,38.61,-15.88,-34.18,0.365
Kidneybeans,40.36,-10.79,-36.65,0.105
Kidneybeans,43.29,-15.66,-33.89,0.355
Kidneybeans,49.72,-14.87,-37.56,0.357
Kidneybeans,36.07,-16.59,-32.67,0.345
Kidneybeans,35.14,-12.14,-38.78,0.345
Kidneybeans,44.31,-16.76,-37.47,0.392
Kidneybeans,43.21,-14.4,-32.35,0.228
Kidneybeans,48.6,-19.68,-32.96,0.34
Kidneybeans,47.72,-13.67,-39.28,0.158
Kidneybeans,43.36,-14.53,-30.45,0.32
Kidneybeans,42.25,-19.27,-35.4,0.127
Kidneybeans,40.97,-12.47,-34.55,0.398
Kidneybeans,37.64,-13.99,-35.58,0.215
Kidneybeans,31.45,-17.77,-35.46,0.111
Kidneybeans,30.4,-12.84,-38.56,0.184
Lentil,29.11,-11.21,-28.1,0.137
Lentil,32.23,-13.08,-21.12,0.106
Lentil,26.12,-12.53,-20.33,0.206
Lentil,32.33,-14.85,-23.5,0.165
Lentil,32.45,-13.45,-25.2,0.192
Lentil,28.57,-11.82,-27.71,0.224
Lentil,27.25,-12.43,-29.98,0.25
Lentil,31.86,-14.67,-29.59,0.273
Lentil,33.81,-11.52,-21.71,0.224
Lentil,34.34,-10.64,-23.73,0.131
Lentil,28.98,-10.04,-21.32,0.265
Lentil,37.02,-11.19,-27.32,0.251
Lentil,31.68,-14.84,-27.72,0.158
Lentil,37.28,-11.66,-20.12,0.208
Lentil,33.01,-11.83,-26.13,0.168
Lentil,33.75,-11.34,-23.41,0.175
Lentil,33.67,-14.18,-21.99,0.155
Lentil,29.15,-12.95,-28.7,0.208
Lentil,30.27,-10.44,-29.92,0.264
Lentil,29.9,-11.13,-28.35,0.159
Lentil,27.87,-10.13,-28.47,0.289
Lentil,36.34,-12.22,-20.06,0.145
Lentil,26.5,-13.44,-20.34,0.194
Lentil,28.06,-13.83,-29.37,0.27
Lentil,27.99,-10.47,-25.36,0.148
Lentil,34.31,-12.72,-20.81,0.118
Lentil,35.28,-11.45,-25.54,0.219
Lentil,39.9,-12.46,-29.11,0.121
Lentil,27.71,-12.96,-28.44,0.266
Lentil,34.34,-10.32,-28.51,0.101
Lentil,29.63,-11.11,-21.86,0.179
Lentil,29.51,-14.14,-25.14,0.219
Lentil,27.36,-14.8,-20.85,0.107
Lentil,25.42,-10.83,-23.39,0.231
Lentil,31.1,-11.59,-23.47,0.131
Lentil,25.36,-12.93,-28.94,0.143
Lentil,37.57,-10.64,-21.97,0.127
Lentil,26.05,-12.57,-25.34,0.107
Lentil,26.04,-12.77,-21.24,0.206
Lentil,33.51,-10.06,-25.35,0.141
Lentil,32.4,-14.43,-24.71,0.232
Lentil,27.41,-11.7,-29.06,0.28
Lentil,30.94,-13.42,-28.07,0.139
Lentil,36.23,-11.94,-28.08,0.289
Lentil,26.18,-12.31,-25.24,0.284
Lentil,35.23,-13.96,-23.98,0.275
Lentil,30.36,-10.76,-23.53,0.187
Lentil,33.81,-11.23,-20.92,0.125
Lentil,31.87,-12.42,-27.72,0.256
Lentil,32.67,-12.9,-27.45,0.16
Lentil,33.07,-12.78,-26.45,0.23
Lentil,27.25,-14.56,-21.86,0.242
Lentil,37.61,-11.31,-26.48,0.173
Lentil,28.31,-13.61,-29.43,0.148
Lentil,35.3,-14.2,-27.95,0.112
Lentil,31.91,-14.91,-26.72,0.264
Lentil,25.74,-10.71,-25.29,0.263
Lentil,36.79,-10.1,-29.56,0.104
Lentil,30.8,-10.49,-25.92,0.299
Lentil,39.43,-13.02,-21.04,0.2
Lentil,32.79,-10.79,-28.86,0.292
Lentil,38.46,-14.85,-23.77,0.179
Lentil,34.05,-14.53,-20.37,0.282
Lentil,39.53,-13.48,-21.83,0.125
Lentil,33.14,-14.04,-26.5,0.244
Lentil,30.77,-10.8,-23.01,0.179
Lentil,29.81,-10.74,-22.34,0.159
Lentil,37.71,-14.56,-21.89,0.246
Lentil,39.19,-14.24,-29.17,0.241
Lentil,32.45,-13.4,-27.47,0.155
Lentil,32.75,-10.32,-20.36,0.142
Lentil,25.52,-14.56,-27.26,0.228
Lentil,37.45,-13.25,-22.12,0.265
Lentil,34.73,-10.74,-20.8,0.146
Lentil,34.84,-13.21,-29.19,0.149
Lentil,31.57,-11.28,-21.24,0.232
Lentil,28.27,-14.52,-20.65,0.241
Lentil,25.12,-10.41,-22.45,0.232
Lentil,36.33,-14.95,-20.07,0.286
Lentil,29.11,-13.7,-25.44,0.257
Lentil,27.34,-11.07,-25.86,0.158
Lentil,36.7,-10.76,-25.71,0.16
Lentil,39.51,-10.27,-26.31,0.19
Lentil,25.78,-12.83,-21.98,0.26
Lentil,30.8,-14.65,-21.86,0.223
Lentil,29.22,-12.62,-23.74,0.28
Lentil,37.73,-11.96,-28.23,0.229
Lentil,33.77,-13.53,-25.64,0.213
Lentil,26.71,-10.74,-26.73,0.135
Lentil,39.35,-11.99,-23.36,0.26
Lentil,29.99,-14.74,-26.5,0.279
Lentil,34.8,-11.24,-25.57,0.164
Lentil,32.85,-11.99,-22.85,0.251
Lentil,38.23,-11.44,-24.97,0.161
Lentil,26.48,-14.53,-22.51,0.23
Lentil,36.89,-13.66,-20.84,0.147
Lentil,36.67,-12.05,-29.63,0.292
Lentil,29.86,-10.57,-25.8,0.161
Lentil,39.97,-10.54,-21.87,0.181
Lentil,34.83,-14.51,-25.0,0.199
Lentil,36.81,-14.9,-25.61,0.112
Lentil,30.98,-13.64,-26.58,0.258
Lentil,34.42,-10.52,-23.98,0.239
Lentil,36.07,-13.58,-21.17,0.25
Lentil,38.21,-11.46,-26.83,0.243
Lentil,29.39,-11.88,-21.23,0.28
Lentil,29.24,-11.2,-23.91,0.162
Lentil,33.8,-13.49,-22.59,0.105
Lentil,29.25,-14.26,-27.25,0.114
Lentil,26.27,-14.1,-26.32,0.26
Lentil,33.25,-14.56,-23.21,0.278
Lentil,31.7,-13.27,-22.24,0.293
Lentil,32.14,-10.81,-28.48,0.101
Lentil,31.06,-10.9,-21.75,0.204
Lentil,34.4,-11.52,-26.4,0.274
Lentil,38.48,-11.95,-25.49,0.188
Lentil,33.4,-11.38,-28.07,0.107
Lentil,26.46,-12.44,-25.54,0.251
Lentil,35.86,-11.01,-29.73,0.195
Lentil,25.68,-11.21,-28.52,0.175
Lentil,36.4,-13.77,-27.39,0.174
Lentil,34.33,-12.86,-28.42,0.295
Lentil,31.56,-14.05,-26.24,0.119
Lentil,39.14,-14.27,-29.95,0.141
Lentil,26.78,-12.45,-24.71,0.236
Lentil,38.49,-12.81,-26.54,0.167
Lentil,38.43,-14.14,-26.0,0.181
Lentil,28.59,-12.33,-27.69,0.141
Lentil,30.69,-14.47,-24.89,0.1
Lentil,25.57,-14.27,-24.57,0.1
Lentil,37.9,-10.89,-20.39,0.22
Lentil,33.92,-13.09,-27.91,0.166
Lentil,25.23,-14.16,-27.83,0.294
Lentil,39.4,-14.33,-21.89,0.113
Lentil,30.82,-11.01,-24.86,0.129
Lentil,35.07,-10.7,-29.53,0.234
Lentil,26.46,-14.49,-27.99,0.205
Lentil,36.12,-14.01,-21.41,0.164
Lentil,25.49,-13.98,-27.41,0.209
Lentil,31.74,-10.25,-20.76,0.149
Lentil,38.28,-13.2,-29.79,0.152
Lentil,31.93,-10.07,-28.96,0.166
Lentil,27.05,-13.97,-23.48,0.122
Lentil,33.62,-11.31,-29.77,0.291
Lentil,26.85,-10.61,-20.21,0.248
Lentil,37.13,-13.78,-26.34,0.228
Lentil,29.16,-12.7,-27.81,0.293
Lentil,30.62,-13.62,-23.04,0.146
Lentil,36.72,-13.69,-27.04,0.216
Lentil,38.76,-13.74,-23.4,0.133
Lentil,25.2,-10.62,-21.84,0.242
Lentil,36.55,-14.26,-29.94,0.23
Lentil,37.41,-11.14,-25.99,0.252
Lentil,32.09,-13.26,-27.61,0.118
Lentil,32.41,-14.34,-27.64,0.13
Lentil,34.38,-12.85,-25.31,0.227
Lentil,30.21,-11.02,-26.02,0.202
Lentil,31.19,-10.8,-21.58,0.118
Lentil,31.35,-14.75,-20.13,0.286
Lentil,30.24,-12.77,-26.46,0.176
Lentil,38.64,-14.58,-22.82,0.134
Lentil,31.06,-12.35,-26.55,0.165
Lentil,36.2,-13.74,-25.62,0.144
Lentil,31.62,-13.87,-29.68,0.158
Lentil,31.87,-11.01,-23.97,0.286
Lentil,30.13,-12.64,-29.97,0.204
Lentil,38.63,-11.33,-23.17,0.204
Lentil,26.0,-12.23,-26.54,0.275
Lentil,30.67,-14.13,-20.53,0.106
Lentil,30.87,-11.21,-20.44,0.151
Lentil,26.06,-10.27,-28.2,0.172
Lentil,27.23,-10.38,-26.46,0.246
Lentil,27.54,-12.84,-28.62,0.12
Lentil,29.06,-10.28,-23.06,0.181
Lentil,27.06,-14.98,-21.27,0.231
Lentil,27.86,-10.7,-24.72,0.241
Lentil,29.45,-13.19,-27.44,0.103
Lentil,36.85,-13.37,-26.26,0.176
Lentil,37.52,-10.79,-21.48,0.291
Lentil,34.74,-14.01,-27.12,0.194
Lentil,31.58,-12.94,-23.64,0.268
Lentil,28.5,-10.49,-29.45,0.299
Lentil,33.41,-11.84,-28.22,0.224
Lentil,34.76,-12.4,-29.65,0.212
Lentil,25.45,-11.93,-22.5,0.294
Lentil,36.61,-11.87,-20.5,0.132
Lentil,35.61,-10.27,-21.06,0.162
Lentil,30.57,-12.69,-23.66,0.26
Lentil,33.7,-11.75,-28.28,0.117
Lentil,29.96,-14.94,-28.96,0.117
Lentil,30.34,-13.17,-27.83,0.111
Lentil,32.98,-11.5,-27.59,0.165
Lentil,26.37,-11.98,-27.86,0.278
Lentil,29.05,-12.22,-25.86,0.181
Lentil,35.39,-12.78,-27.66,0.286
Lentil,38.39,-12.97,-21.5,0.293
Lentil,33.91,-14.73,-29.64,0.251
Lentil,31.52,-14.39,-26.77,0.229
Lentil,29.92,-12.53,-29.68,0.216
Lentil,34.25,-12.95,-29.76,0.205
Mothbeans,30.87,-14.07,-17.63,0.125
Mothbeans,34.83,-11.92,-24.17,0.133
Mothbeans,21.62,-10.62,-24.74,0.197
Mothbeans,26.58,-12.98,-20.71,0.178
Mothbeans,30.47,-8.21,-20.72,0.179
Mothbeans,27.09,-12.64,-18.99,0.192
Mothbeans,27.08,-11.08,-16.76,0.171
Mothbeans,26.97,-13.02,-21.88,0.136
Mothbeans,22.29,-13.01,-18.64,0.132
Mothbeans,29.31,-10.63,-22.03,0.115
Mothbeans,29.95,-14.61,-19.5,0.145
Mothbeans,32.64,-12.54,-19.01,0.112
Mothbeans,29.51,-9.49,-15.75,0.162
Mothbeans,26.69,-13.31,-18.5,0.139
Mothbeans,27.08,-14.28,-21.47,0.105
Mothbeans,26.96,-9.48,-20.89,0.145
Mothbeans,28.25,-9.46,-24.26,0.114
Mothbeans,31.51,-13.97,-17.68,0.197
Mothbeans,34.65,-14.47,-18.59,0.138
Mothbeans,21.11,-8.26,-15.38,0.115
Mothbeans,21.51,-13.36,-17.69,0.161
Mothbeans,24.65,-8.02,-20.83,0.144
Mothbeans,24.27,-8.22,-20.43,0.107
Mothbeans,20.51,-8.75,-15.24,0.125
Mothbeans,28.13,-13.76,-17.34,0.151
Mothbeans,28.77,-13.24,-20.95,0.135
Mothbeans,23.57,-9.3,-21.24,0.13
Mothbeans,24.45,-10.0,-22.91,0.148
Mothbeans,20.9,-8.31,-21.27,0.171
Mothbeans,30.99,-11.53,-24.36,0.163
Mothbeans,23.93,-12.02,-17.71,0.139
Mothbeans,22.28,-13.83,-23.45,0.108
Mothbeans,20.54,-10.59,-21.52,0.153
Mothbeans,27.61,-13.32,-19.91,0.144
Mothbeans,26.26,-10.5,-22.46,0.178
Mothbeans,32.23,-13.56,-17.03,0.151
Mothbeans,33.28,-13.93,-22.4,0.123
Mothbeans,21.01,-12.93,-15.39,0.179
Mothbeans,33.42,-12.18,-22.73,0.17
Mothbeans,26.2,-11.99,-22.26,0.129
Mothbeans,21.22,-9.66,-19.8,0.147
Mothbeans,21.0,-9.25,-23.94,0.189
Mothbeans,33.06,-13.06,-16.88,0.148
Mothbeans,20.12,-14.17,-18.55,0.178
Mothbeans,28.45,-12.37,-17.5,0.196
Mothbeans,27.61,-12.83,-19.81,0.107
Mothbeans,27.67,-9.67,-15.03,0.152
Mothbeans,26.99,-8.26,-21.52,0.101
Mothbeans,20.07,-13.39,-23.64,0.171
Mothbeans,29.86,-13.83,-19.36,0.167
Mothbeans,33.27,-9.82,-15.83,0.11
Mothbeans,27.07,-14.71,-21.58,0.128
Mothbeans,33.62,-12.18,-22.93,0.107
Mothbeans,23.66,-10.54,-20.12,0.174
Mothbeans,29.74,-11.11,-15.3,0.192
Mothbeans,21.81,-13.3,-18.75,0.12
Mothbeans,20.07,-8.95,-17.16,0.102
Mothbeans,25.39,-10.63,-24.66,0.155
Mothbeans,28.34,-14.1,-18.17,0.183
Mothbeans,25.49,-8.25,-15.72,0.123
Mothbeans,25.89,-9.2,-17.37,0.197
Mothbeans,26.64,-13.59,-24.01,0.196
Mothbeans,25.08,-12.24,-19.71,0.11
Mothbeans,30.49,-10.44,-17.97,0.131
Mothbeans,23.1,-11.74,-21.05,0.181
Mothbeans,22.12,-11.7,-22.85,0.153
Mothbeans,32.72,-12.83,-15.23,0.153
Mothbeans,21.26,-9.54,-24.04,0.126
Mothbeans,29.17,-12.6,-20.28,0.108
Mothbeans,34.02,-10.38,-19.85,0.186
Mothbeans,33.01,-8.54,-23.74,0.145
Mothbeans,27.66,-13.07,-20.96,0.184
Mothbeans,25.33,-9.7,-19.2,0.109
Mothbeans,21.79,-12.65,-18.75,0.16
Mothbeans,32.29,-12.22,-16.13,0.113
Mothbeans,34.48,-8.31,-24.44,0.162
Mothbeans,24.03,-13.03,-15.34,0.192
Mothbeans,30.43,-10.09,-24.88,0.193
Mothbeans,29.7,-12.98,-20.54,0.147
Mothbeans,28.7,-9.84,-19.5,0.178
Mothbeans,22.4,-11.07,-21.26,0.163
Mothbeans,25.6,-11.25,-23.28,0.148
Mothbeans,29.59,-11.83,-15.64,0.129
Mothbeans,27.77,-11.62,-17.36,0.129
Mothbeans,21.01,-8.67,-22.85,0.122
Mothbeans,34.08,-10.57,-20.48,0.147
Mothbeans,31.14,-11.58,-20.32,0.16
Mothbeans,25.56,-11.22,-21.01,0.184
Mothbeans,20.07,-9.84,-21.94,0.2
Mothbeans,22.89,-8.18,-18.06,0.15
Mothbeans,25.03,-14.7,-22.4,0.156
Mothbeans,21.69,-11.39,-21.53,0.165
Mothbeans,33.9,-8.31,-17.96,0.109
Mothbeans,21.74,-14.56,-16.04,0.126
Mothbeans,23.14,-14.38,-19.74,0.162
Mothbeans,27.31,-13.98,-17.69,0.2
Mothbeans,21.42,-10.98,-15.57,0.115
Mothbeans,21.4,-14.14,-20.81,0.108
Mothbeans,31.09,-12.37,-18.54,0.168
Mothbeans,22.93,-9.35,-17.99,0.176
Mothbeans,33.87,-11.81,-23.79,0.148
Mothbeans,29.52,-8.31,-15.63,0.174
Mothbeans,27.39,-8.28,-19.98,0.145
Mothbeans,29.35,-8.07,-22.98,0.11
Mothbeans,22.22,-13.67,-19.34,0.185
Mothbeans,33.46,-13.72,-17.72,0.11
Mothbeans,32.74,-12.54,-17.09,0.179
Mothbeans,27.47,-9.61,-18.43,0.101
Mothbeans,32.93,-12.54,-16.21,0.136
Mothbeans,24.81,-9.46,-21.7,0.176
Mothbeans,22.02,-13.88,-18.4,0.111
Mothbeans,31.63,-12.02,-20.06,0.118
Mothbeans,25.06,-13.82,-18.84,0.103
Mothbeans,33.1,-8.54,-21.13,0.179
Mothbeans,30.11,-12.88,-24.08,0.102
Mothbeans,28.22,-11.48,-16.16,0.128
Mothbeans,21.74,-9.69,-22.12,0.135
Mothbeans,24.66,-9.37,-17.17,0.128
Mothbeans,34.7,-8.42,-19.65,0.123
Mothbeans,34.18,-8.11,-15.94,0.135
Mothbeans,25.08,-14.32,-20.82,0.181
Mothbeans,21.7,-10.14,-22.2,0.191
Mothbeans,30.62,-8.68,-20.18,0.11
Mothbeans,20.27,-12.12,-15.97,0.163
Mothbeans,22.46,-13.66,-19.69,0.148
Mothbeans,28.95,-14.63,-17.67,0.172
Mothbeans,28.49,-12.52,-22.44,0.111
Mothbeans,23.94,-13.99,-18.2,0.101
Mothbeans,24.07,-12.51,-19.09,0.18
Mothbeans,23.29,-14.08,-21.68,0.155
Mothbeans,34.45,-13.75,-18.67,0.123
Mothbeans,21.13,-12.4,-19.03,0.148
Mothbeans,32.56,-14.91,-20.39,0.189
Mothbeans,23.42,-8.8,-18.26,0.182
Mothbeans,23.4,-13.18,-22.85,0.155
Mothbeans,20.79,-12.79,-15.16,0.164
Mothbeans,33.91,-12.88,-19.74,0.117
Mothbeans,26.7,-11.5,-17.36,0.179
Mothbeans,20.4,-8.62,-22.28,0.123
Mothbeans,30.25,-14.4,-15.31,0.176
Mothbeans,34.61,-9.12,-20.36,0.143
Mothbeans,34.64,-14.28,-23.21,0.152
Mothbeans,27.46,-11.37,-16.85,0.172
Mothbeans,33.55,-13.0,-22.87,0.199
Mothbeans,30.06,-11.17,-20.97,0.165
Mothbeans,20.81,-9.48,-23.57,0.12
Mothbeans,32.43,-8.61,-19.52,0.118
Mothbeans,31.82,-11.05,-21.13,0.188
Mothbeans,20.39,-9.16,-22.17,0.178
Mothbeans,33.31,-14.18,-18.22,0.137
Mothbeans,27.89,-13.25,-19.19,0.195
Mothbeans,29.82,-8.84,-15.13,0.127
Mothbeans,30.95,-12.77,-15.81,0.115
Mothbeans,23.47,-14.1,-21.59,0.187
Mothbeans,30.95,-9.98,-24.67,0.102
Mothbeans,23.36,-8.04,-18.29,0.146
Mothbeans,32.49,-11.49,-20.83,0.19
Mothbeans,22.39,-9.09,-20.39,0.167
Mothbeans,27.27,-12.68,-22.52,0.192
Mothbeans,27.96,-10.51,-19.37,0.138
Mothbeans,30.79,-14.75,-16.87,0.12
Mothbeans,25.17,-8.04,-22.41,0.199
Mothbeans,33.67,-12.6,-19.18,0.154
Mothbeans,26.02,-8.47,-18.85,0.158
Mothbeans,20.98,-9.55,-22.28,0.128
Mothbeans,33.06,-13.73,-15.44,0.144
Mothbeans,20.76,-8.97,-21.83,0.177
Mothbeans,27.88,-10.45,-21.82,0.135
Mothbeans,22.95,-9.28,-20.03,0.119
Mothbeans,25.24,-13.33,-16.87,0.113
Mothbeans,34.48,-9.88,-15.66,0.136
Mothbeans,34.58,-10.57,-17.18,0.17
Mothbeans,21.96,-8.87,-23.59,0.161
Mothbeans,22.53,-10.65,-21.92,0.126
Mothbeans,30.44,-10.3,-16.58,0.103
Mothbeans,27.09,-10.79,-22.38,0.106
Mothbeans,25.95,-11.9,-21.2,0.147
Mothbeans,28.41,-12.53,-24.56,0.15
Mothbeans,22.28,-13.87,-21.25,0.197
Mothbeans,29.33,-11.77,-15.3,0.102
Mothbeans,24.83,-12.54,-24.44,0.154
Mothbeans,34.48,-14.34,-22.76,0.116
Mothbeans,32.64,-8.42,-21.57,0.137
Mothbeans,34.77,-10.57,-19.17,0.197
Mothbeans,23.76,-12.91,-16.62,0.107
Mothbeans,20.78,-12.56,-21.6,0.118
Mothbeans,23.7,-14.55,-21.09,0.123
Mothbeans,20.55,-12.27,-17.21,0.155
Mothbeans,24.34,-9.75,-16.76,0.175
Mothbeans,28.62,-14.1,-22.12,0.193
Mothbeans,20.79,-9.53,-20.31,0.147
Mothbeans,31.9,-10.73,-23.72,0.111
Mothbeans,22.52,-9.58,-19.04,0.111
Mothbeans,23.06,-8.8,-17.53,0.192
Mothbeans,22.58,-11.86,-16.01,0.133
Mothbeans,28.17,-8.71,-17.23,0.13
Mothbeans,25.21,-14.73,-21.54,0.156
Mothbeans,31.79,-13.62,-17.26,0.152
Mothbeans,21.27,-14.38,-19.28,0.176
Mothbeans,26.6,-11.85,-16.93,0.102
Mungbean,27.22,-14.55,-26.18,0.227
Mungbean,32.96,-12.38,-21.04,0.281
Mungbean,39.13,-14.42,-23.36,0.101
Mungbean,44.61,-12.92,-20.31,0.299
Mungbean,44.62,-13.23,-20.41,0.254
Mungbean,34.21,-11.37,-23.37,0.244
Mungbean,36.15,-10.69,-29.2,0.201
Mungbean,42.0,-10.89,-29.19,0.137
Mungbean,33.36,-13.65,-28.54,0.215
Mungbean,29.18,-10.85,-28.01,0.14
Mungbean,41.13,-11.23,-28.47,0.111
Mungbean,42.55,-10.16,-25.84,0.256
Mungbean,44.21,-10.51,-28.48,0.245
Mungbean,42.06,-10.63,-26.32,0.198
Mungbean,26.73,-14.54,-26.3,0.219
Mungbean,42.61,-11.48,-26.12,0.28
Mungbean,39.78,-11.54,-25.57,0.267
Mungbean,26.54,-14.7,-25.18,0.178
Mungbean,34.49,-14.01,-24.37,0.211
Mungbean,31.16,-13.49,-27.08,0.121
Mungbean,40.25,-10.46,-25.98,0.168
Mungbean,30.32,-11.47,-21.99,0.291
Mungbean,41.15,-11.03,-27.12,0.144
Mungbean,36.77,-12.48,-20.23,0.109
Mungbean,34.77,-10.95,-21.86,0.179
Mungbean,36.39,-11.09,-24.29,0.147
Mungbean,40.09,-14.96,-28.72,0.154
Mungbean,25.23,-12.73,-27.34,0.235
Mungbean,40.68,-13.37,-20.94,0.177
Mungbean,44.33,-14.5,-22.07,0.179
Mungbean,37.42,-11.37,-21.15,0.226
Mungbean,29.55,-10.49,-26.83,0.293
Mungbean,30.65,-13.26,-22.08,0.172
Mungbean,41.82,-13.96,-20.12,0.143
Mungbean,26.58,-12.69,-28.54,0.135
Mungbean,30.08,-10.29,-26.43,0.169
Mungbean,36.84,-14.95,-25.1,0.24
Mungbean,29.05,-13.92,-24.48,0.104
Mungbean,30.67,-13.5,-26.11,0.163
Mungbean,33.38,-12.15,-23.65,0.193
Mungbean,35.11,-14.24,-25.89,0.209
Mungbean,35.32,-13.11,-21.34,0.123
Mungbean,40.46,-11.69,-20.35,0.152
Mungbean,37.0,-10.62,-28.89,0.109
Mungbean,28.89,-10.58,-23.76,0.215
Mungbean,41.39,-13.75,-29.26,0.115
Mungbean,25.11,-13.18,-21.39,0.176
Mungbean,26.9,-13.48,-29.58,0.176
Mungbean,30.69,-10.83,-21.87,0.16
Mungbean,30.55,-14.34,-24.81,0.112
Mungbean,40.4,-11.68,-26.58,0.295
Mungbean,29.69,-12.64,-29.87,0.106
Mungbean,33.33,-13.09,-22.67,0.11
Mungbean,29.74,-10.54,-29.94,0.165
Mungbean,35.11,-12.36,-24.67,0.219
Mungbean,40.89,-10.79,-21.92,0.107
Mungbean,30.35,-13.57,-23.23,0.146
Mungbean,39.65,-13.73,-25.65,0.189
Mungbean,38.82,-14.77,-21.52,0.264
Mungbean,42.89,-10.78,-20.91,0.288
Mungbean,42.8,-11.16,-22.28,0.241
Mungbean,37.92,-11.91,-20.88,0.276
Mungbean,41.2,-12.27,-24.33,0.238
Mungbean,43.12,-12.94,-24.18,0.221
Mungbean,40.9,-12.38,-28.72,0.108
Mungbean,36.67,-11.95,-22.85,0.169
Mungbean,35.57,-12.14,-28.24,0.153
Mungbean,44.96,-12.97,-28.67,0.285
Mungbean,32.84,-10.35,-23.25,0.128
Mungbean,26.8,-11.38,-21.35,0.288
Mungbean,40.46,-13.88,-21.7,0.14
Mungbean,30.52,-13.31,-21.55,0.183
Mungbean,25.68,-13.36,-22.22,0.132
Mungbean,30.23,-10.1,-29.53,0.295
Mungbean,41.1,-12.66,-22.83,0.162
Mungbean,37.09,-13.14,-25.32,0.19
Mungbean,43.24,-12.18,-29.38,0.156
Mungbean,31.89,-11.86,-26.07,0.183
Mungbean,41.72,-11.72,-29.72,0.218
Mungbean,37.16,-12.21,-26.83,0.103
Mungbean,38.0,-11.98,-20.5,0.111
Mungbean,36.95,-13.08,-26.69,0.103
Mungbean,30.63,-13.49,-21.0,0.148
Mungbean,44.15,-13.39,-22.03,0.12
Mungbean,29.92,-13.14,-28.88,0.221
Mungbean,26.49,-10.62,-26.51,0.234
Mungbean,42.43,-10.06,-26.72,0.159
Mungbean,39.03,-14.25,-25.89,0.155
Mungbean,34.28,-10.61,-22.86,0.288
Mungbean,38.8,-11.71,-26.77,0.189
Mungbean,30.4,-11.48,-20.53,0.182
Mungbean,29.87,-11.68,-24.88,0.128
Mungbean,43.97,-10.35,-25.88,0.101
Mungbean,31.76,-12.12,-28.12,0.291
Mungbean,39.4,-11.24,-29.17,0.104
Mungbean,26.91,-12.03,-28.92,0.26
Mungbean,44.63,-10.53,-22.25,0.286
Mungbean,32.58,-14.07,-26.52,0.112
Mungbean,38.88,-10.23,-20.53,0.179
Mungbean,36.25,-11.58,-26.33,0.183
Mungbean,41.67,-14.86,-27.67,0.298
Mungbean,29.25,-14.89,-21.4,0.27
Mungbean,33.81,-14.42,-23.13,0.163
Mungbean,36.19,-14.68,-24.56,0.296
Mungbean,26.63,-10.34,-23.52,0.201
Mungbean,29.34,-12.74,-24.43,0.148
Mungbean,26.18,-10.0,-21.9,0.225
Mungbean,35.1,-11.85,-29.34,0.136
Mungbean,25.41,-13.76,-25.16,0.127
Mungbean,44.12,-13.48,-21.51,0.235
Mungbean,33.25,-13.5,-23.56,0.279
Mungbean,26.07,-14.34,-26.52,0.28
Mungbean,38.53,-14.46,-25.7,0.119
Mungbean,34.81,-11.04,-28.86,0.181
Mungbean,27.04,-13.76,-22.55,0.102
Mungbean,38.37,-10.76,-25.92,0.229
Mungbean,25.21,-13.91,-22.64,0.102
Mungbean,26.04,-10.79,-23.05,0.191
Mungbean,33.77,-14.66,-28.05,0.173
Mungbean,35.58,-12.34,-29.21,0.257
Mungbean,35.97,-12.74,-25.48,0.228
Mungbean,25.24,-12.32,-26.08,0.27
Mungbean,25.56,-12.95,-24.24,0.278
Mungbean,27.9,-12.14,-27.53,0.246
Mungbean,37.8,-14.87,-22.55,0.138
Mungbean,37.17,-13.06,-27.8,0.221
Mungbean,43.68,-10.26,-27.55,0.277
Mungbean,32.92,-12.78,-29.23,0.264
Mungbean,35.87,-11.49,-24.32,0.296
Mungbean,37.49,-12.68,-29.25,0.293
Mungbean,25.96,-14.42,-20.0,0.264
Mungbean,35.02,-14.15,-24.69,0.167
Mungbean,27.59,-11.39,-29.85,0.13
Mungbean,29.5,-10.39,-22.01,0.281
Mungbean,38.03,-12.64,-29.94,0.227
Mungbean,42.26,-13.11,-27.53,0.273
Mungbean,40.18,-14.77,-29.68,0.135
Mungbean,41.37,-11.88,-26.02,0.158
Mungbean,38.3,-11.85,-29.7,0.221
Mungbean,26.43,-11.32,-29.96,0.159
Mungbean,43.16,-12.88,-27.81,0.197
Mungbean,34.49,-14.62,-21.45,0.13
Mungbean,37.75,-10.64,-23.83,0.164
Mungbean,32.01,-12.36,-27.7,0.182
Mungbean,41.21,-12.78,-25.39,0.22
Mungbean,43.73,-13.83,-20.31,0.251
